Name,Age,#days,Lev,Tm,G,GS,W,L,SV,IP,H,R,ER,BB,SO,HR,HBP,ERA,AB,2B,3B,IBB,GDP,SF,SB,CS,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,SO/W,mlbID
Braydon Fisher,24,0,Maj-AL,Toronto,13,1,,,,13.0,9,5,5,3,18,2,0,3.46,48,0,0,0,0,0,0,0,0,51,196,0.68,0.24,0.14,0.37,0.17,0.13,0.923,0.25,12.5,6.0,680755
Richard Fitts,25,22,Maj-AL,Boston,2,2,,1.0,,4.0,6,6,5,2,2,3,1,11.25,18,0,0,0,1,0,1,0,0,21,83,0.64,0.17,0.08,0.31,0.31,0.06,2.0,0.231,4.5,1.0,690916
Jack Flaherty,29,4,Maj-AL,Detroit,5,5,3.0,2.0,,25.0,19,16,16,13,29,4,2,5.76,92,5,0,0,1,0,0,0,0,107,458,0.63,0.2,0.09,0.3,0.3,0.1,1.28,0.254,10.4,2.23,656427
Bowden Francis,29,10,Maj-AL,Toronto,4,4,,2.0,,13.2,16,13,12,11,14,4,3,7.9,55,0,0,0,0,1,0,0,1,70,297,0.6,0.14,0.11,0.29,0.26,0.12,1.976,0.316,9.2,1.27,670102
Kyle Freeland,32,13,Maj-NL,Colorado,3,3,1.0,1.0,,18.1,18,8,6,2,13,3,1,2.95,68,4,1,0,3,1,1,0,1,72,270,0.66,0.19,0.09,0.43,0.21,0.05,1.091,0.283,6.4,6.5,607536
Max Fried,31,4,Maj-AL,New York,5,5,2.0,2.0,,31.0,28,13,13,4,30,4,2,3.77,117,3,1,0,5,0,3,0,1,123,480,0.64,0.15,0.12,0.55,0.21,0.09,1.032,0.289,8.7,7.5,608331
Didier Fuentes,20,4,Maj-NL,Atlanta,1,1,,1.0,,5.0,6,4,4,1,3,1,0,7.2,21,1,0,0,0,0,0,1,0,22,87,0.67,0.17,0.09,0.28,0.33,0.06,1.4,0.294,5.4,3.0,800311
Zac Gallen,29,4,Maj-NL,Arizona,5,5,2.0,2.0,,30.0,32,24,21,12,23,7,0,6.3,120,4,0,0,4,0,0,1,1,132,462,0.66,0.2,0.1,0.48,0.22,0.01,1.467,0.278,6.9,1.92,668678
Kevin Gausman,34,5,Maj-AL,Toronto,5,5,1.0,2.0,,28.0,28,18,18,12,29,5,2,5.79,108,5,0,0,2,0,3,0,0,123,472,0.64,0.17,0.11,0.35,0.29,0.06,1.429,0.311,9.3,2.42,592332
Cade Gibson,27,0,Maj-NL,Miami,10,1,2.0,2.0,,11.1,8,5,4,4,7,0,2,3.18,41,1,0,1,1,0,1,0,0,47,170,0.63,0.16,0.09,0.5,0.26,0.03,1.059,0.235,5.6,1.75,806188
Logan Gilbert,28,2,Maj-AL,Seattle,2,2,1.0,1.0,,10.0,11,6,6,1,16,4,0,5.4,40,0,1,0,0,0,1,1,0,41,174,0.69,0.1,0.2,0.25,0.21,0.13,1.2,0.35,14.4,16.0,669302
Lucas Giolito,30,2,Maj-AL,Boston,5,5,2.0,,,24.1,23,13,10,9,23,3,0,3.7,91,4,1,0,3,1,2,0,1,102,400,0.63,0.17,0.11,0.34,0.3,0.13,1.315,0.303,8.5,2.56,608337
Sawyer Gipson-Long,27,3,Maj-AL,Detroit,4,1,,,,17.2,17,10,9,2,13,3,1,4.58,65,5,0,0,1,3,1,2,1,71,244,0.71,0.18,0.1,0.4,0.2,0.07,1.075,0.269,6.6,6.5,687830
Austin Gomber,31,4,Maj-NL,Colorado,2,2,,1.0,,9.2,14,9,9,2,4,3,0,8.38,41,2,1,0,1,0,1,0,0,44,157,0.71,0.14,0.09,0.26,0.21,0.08,1.655,0.324,3.7,2.0,596295
Tony Gonsolin,31,20,Maj-NL,Los Angeles,2,2,1.0,1.0,,11.0,9,8,7,6,10,5,2,5.73,41,0,0,0,2,0,1,0,0,49,181,0.63,0.18,0.12,0.52,0.16,0.03,1.364,0.154,8.2,1.67,664062
Colton Gordon,26,5,Maj-AL,Houston,4,4,2.0,1.0,,21.0,25,10,9,3,20,6,0,3.86,85,4,0,1,2,0,0,0,0,88,343,0.66,0.15,0.1,0.35,0.32,0.11,1.333,0.322,8.6,6.67,676467
Tanner Gordon,27,27,Maj-NL,Colorado,1,1,,1.0,,4.2,6,2,2,0,1,1,0,3.86,19,1,0,0,1,0,1,0,0,19,79,0.71,0.1,0.08,0.56,0.17,0.06,1.286,0.294,1.9,,685299
MacKenzie Gore,26,4,Maj-NL,Washington,5,5,1.0,2.0,,30.2,27,10,9,6,30,3,2,2.64,115,4,0,0,1,1,4,2,0,124,476,0.63,0.11,0.13,0.37,0.22,0.09,1.076,0.289,8.8,5.0,669022
Sonny Gray,35,3,Maj-NL,St. Louis,4,4,2.0,1.0,,22.2,25,7,7,4,24,1,1,2.78,88,4,2,0,2,0,1,1,1,93,337,0.66,0.16,0.13,0.47,0.28,0.05,1.279,0.381,9.5,6.0,543243
Hunter Greene,25,21,Maj-NL,Cincinnati,2,2,,1.0,,10.0,12,4,4,4,10,1,0,3.6,39,3,0,0,0,0,1,1,1,44,173,0.68,0.18,0.09,0.23,0.47,0.13,1.6,0.393,9.0,2.5,668881
Ryan Gusto,26,2,Maj-AL,Houston,5,5,2.0,1.0,,25.0,28,13,13,7,29,3,1,4.68,100,5,0,0,2,2,5,0,0,110,423,0.66,0.18,0.11,0.4,0.29,0.11,1.4,0.357,10.4,4.14,687473
DL Hall,26,2,Maj-NL,Milwaukee,7,2,1.0,,,14.2,8,5,5,9,10,1,0,3.07,51,1,0,0,1,0,0,0,0,60,228,0.59,0.17,0.08,0.39,0.29,0.07,1.159,0.175,6.1,1.11,669084
Emerson Hancock,26,3,Maj-AL,Seattle,5,5,1.0,1.0,,27.0,18,14,14,12,22,6,0,4.67,92,2,0,0,5,0,0,1,0,105,418,0.63,0.12,0.1,0.42,0.2,0.08,1.111,0.188,7.3,1.83,676106
Kyle Harrison,23,14,Maj-NL,San Francisco,3,3,1.0,,,14.1,14,8,8,6,14,2,0,5.02,56,3,1,0,0,0,1,1,0,62,254,0.65,0.15,0.12,0.38,0.26,0.05,1.395,0.3,8.8,2.33,690986
Kyle Hart,32,27,Maj-NL,San Diego,1,1,,,,4.2,6,5,5,0,1,2,0,9.64,20,1,0,0,0,0,0,0,0,20,57,0.68,0.21,0.05,0.11,0.32,0.0,1.286,0.235,1.9,,606996
Andrew Heaney,34,0,Maj-NL,Pittsburgh,6,6,,4.0,,30.2,36,25,25,9,22,9,0,7.34,120,8,0,0,1,4,0,1,0,134,478,0.63,0.17,0.09,0.29,0.3,0.08,1.467,0.29,6.5,2.44,571760
Kyle Hendricks,35,2,Maj-AL,Los Angeles,5,5,3.0,,,28.2,34,16,13,7,22,5,1,4.08,118,7,2,3,2,2,7,0,0,128,426,0.7,0.19,0.08,0.42,0.21,0.11,1.43,0.312,6.9,3.14,543294
Sean Hjelle,28,0,Maj-NL,San Francisco,7,1,1.0,1.0,,10.2,8,5,5,7,7,2,0,4.22,38,2,0,1,0,1,0,0,0,46,168,0.61,0.23,0.08,0.5,0.19,0.06,1.406,0.2,5.9,1.0,663546
Gunnar Hoglund,25,24,Maj-AL,Athletics,1,1,,1.0,,6.0,10,8,8,2,1,4,0,12.0,25,2,0,0,2,0,0,0,0,27,93,0.63,0.1,0.06,0.46,0.21,0.0,2.0,0.3,1.5,0.5,680684
Grant Holman,25,13,Maj-AL,Athletics,8,2,,1.0,,7.0,10,7,7,5,5,1,1,9.0,31,3,0,0,0,0,0,0,1,37,133,0.56,0.11,0.11,0.31,0.35,0.04,2.143,0.36,6.4,1.0,680880
Clay Holmes,32,5,Maj-NL,New York,5,5,2.0,1.0,,28.1,23,9,9,11,20,4,1,2.86,105,5,0,0,2,1,1,1,0,118,465,0.65,0.19,0.1,0.53,0.19,0.03,1.2,0.232,6.4,1.82,605280
Grant Holmes,29,3,Maj-NL,Atlanta,5,5,1.0,3.0,,26.1,23,12,11,13,42,4,1,3.76,96,6,0,0,4,1,1,0,1,111,450,0.65,0.16,0.16,0.42,0.22,0.05,1.367,0.373,14.4,3.23,656550
Tyler Holton,29,0,Maj-AL,Detroit,12,3,1.0,1.0,,13.0,16,9,9,1,8,4,0,6.23,51,2,0,0,4,1,1,0,0,53,177,0.69,0.2,0.1,0.57,0.23,0.02,1.308,0.3,5.5,8.0,663947
Cade Horton,23,3,Maj-NL,Chicago,5,5,1.0,1.0,,26.2,26,15,10,7,21,1,2,3.38,102,7,0,0,1,2,3,2,1,113,411,0.65,0.17,0.12,0.52,0.2,0.04,1.238,0.305,7.1,3.0,690990
Adrian Houser,32,2,Maj-AL,Chicago,5,5,1.0,2.0,,29.2,30,9,9,10,24,2,0,2.73,113,5,2,0,2,2,0,0,3,125,468,0.62,0.16,0.09,0.49,0.2,0.09,1.348,0.315,7.3,2.4,605288
Brant Hurter,26,2,Maj-AL,Detroit,9,3,1.0,3.0,,11.2,15,13,6,9,14,0,3,4.63,49,1,0,2,3,0,1,0,0,62,238,0.64,0.16,0.09,0.61,0.22,0.0,2.057,0.429,10.8,1.56,676428
Jake Irvin,28,3,Maj-NL,Washington,5,5,2.0,2.0,,26.1,34,18,18,7,19,6,2,6.15,111,9,1,0,2,0,1,0,0,120,470,0.64,0.15,0.08,0.42,0.24,0.04,1.557,0.326,6.5,2.71,663623
Jackson Jobe,22,27,Maj-AL,Detroit,1,1,,,,4.2,7,3,3,3,4,1,0,5.79,19,3,0,0,1,0,0,0,0,23,95,0.61,0.22,0.08,0.38,0.38,0.0,2.143,0.429,7.7,1.33,695549
Janson Junk,29,4,Maj-NL,Miami,5,1,2.0,,,22.2,20,7,7,1,21,0,0,2.78,85,3,0,0,2,2,2,0,1,88,312,0.71,0.13,0.12,0.47,0.3,0.03,0.926,0.303,8.3,21.0,676083
Mitch Keller,29,3,Maj-NL,Pittsburgh,5,5,,4.0,,30.0,25,17,16,7,18,2,0,4.8,114,5,0,0,1,1,6,0,0,122,451,0.69,0.16,0.1,0.55,0.18,0.07,1.067,0.242,5.4,2.57,656605
Merrill Kelly,36,3,Maj-NL,Arizona,5,5,2.0,1.0,,29.0,24,13,10,9,35,4,0,3.1,108,3,1,0,3,0,2,1,1,117,472,0.65,0.17,0.13,0.45,0.3,0.04,1.138,0.29,10.9,3.89,518876
Clayton Kershaw,37,4,Maj-NL,Los Angeles,5,5,3.0,,,26.2,26,9,7,8,21,3,0,2.36,102,8,0,0,4,0,0,0,0,110,407,0.63,0.18,0.1,0.47,0.19,0.09,1.275,0.295,7.1,2.63,477132
Yusei Kikuchi,34,4,Maj-AL,Los Angeles,5,5,1.0,2.0,,30.0,26,11,9,13,33,4,0,2.7,110,7,0,2,3,1,2,2,0,124,491,0.62,0.15,0.12,0.41,0.21,0.08,1.3,0.297,9.9,2.54,579328
George Kirby,27,4,Maj-AL,Seattle,5,5,1.0,2.0,,27.0,29,16,16,7,29,7,0,5.33,105,5,0,0,4,1,1,0,0,113,455,0.68,0.15,0.09,0.36,0.3,0.04,1.333,0.314,9.7,4.14,669923
Landon Knack,27,19,Maj-NL,Los Angeles,2,2,1.0,,,9.1,9,5,5,8,7,4,1,4.82,33,1,0,0,1,1,2,0,0,43,188,0.58,0.18,0.07,0.15,0.33,0.11,1.821,0.217,6.8,0.88,689017
Jack Kochanowicz,24,1,Maj-AL,Los Angeles,6,6,,3.0,,28.1,31,20,20,11,24,6,3,6.35,106,3,0,0,2,2,3,2,0,122,478,0.62,0.15,0.11,0.56,0.15,0.02,1.482,0.321,7.6,2.18,686799
Stephen Kolek,28,1,Maj-NL,San Diego,6,6,1.0,2.0,,31.2,30,19,17,12,21,2,4,4.83,117,4,1,0,7,4,2,1,0,137,538,0.62,0.17,0.08,0.47,0.25,0.05,1.326,0.286,6.0,1.75,663568
Dean Kremer,29,2,Maj-AL,Baltimore,5,4,2.0,2.0,,29.0,28,12,12,8,28,2,0,3.72,111,6,0,0,3,0,1,0,0,119,455,0.64,0.16,0.1,0.36,0.3,0.06,1.241,0.321,8.7,3.5,665152
Jacob Latz,29,0,Maj-AL,Texas,8,2,1.0,,,23.1,13,7,7,10,22,2,0,2.7,79,2,1,1,3,0,2,1,0,89,366,0.65,0.14,0.14,0.49,0.18,0.09,0.986,0.2,8.5,2.2,656641
Eric Lauer,30,0,Maj-AL,Toronto,6,3,3.0,,,24.1,14,4,4,9,25,2,1,1.48,85,0,1,0,2,0,1,0,1,96,361,0.69,0.18,0.11,0.36,0.26,0.08,0.945,0.207,9.2,2.78,641778
Jordan Leasure,26,0,Maj-AL,Chicago,10,1,2.0,,,9.2,9,5,4,6,9,1,0,3.72,38,4,0,0,0,0,0,0,1,44,190,0.62,0.15,0.1,0.38,0.17,0.24,1.552,0.286,8.4,1.5,673929
Jack Leiter,25,2,Maj-AL,Texas,5,5,1.0,3.0,,24.1,24,14,14,11,21,5,1,5.18,93,6,0,0,2,1,1,1,0,106,446,0.62,0.13,0.09,0.45,0.21,0.05,1.438,0.279,7.8,1.91,683004
Matthew Liberatore,25,1,Maj-NL,St. Louis,5,5,2.0,3.0,,27.0,35,21,20,4,20,4,0,6.67,110,8,1,0,2,4,2,0,0,119,423,0.64,0.13,0.09,0.41,0.28,0.08,1.444,0.344,6.7,5.0,669461
Zack Littell,29,2,Maj-AL,Tampa Bay,6,6,3.0,2.0,,38.1,38,13,13,1,28,8,4,3.05,147,5,0,0,5,0,1,1,0,152,513,0.69,0.14,0.11,0.48,0.2,0.06,1.017,0.27,6.6,28.0,641793
Nick Lodolo,27,1,Maj-NL,Cincinnati,5,5,1.0,1.0,,25.2,24,12,12,6,25,5,3,4.21,95,5,0,0,4,0,2,2,1,104,437,0.64,0.15,0.11,0.41,0.21,0.09,1.169,0.292,8.8,4.17,666157
Jacob Lopez,27,5,Maj-AL,Athletics,5,4,1.0,2.0,,22.0,22,14,13,8,32,5,4,5.32,87,4,0,0,0,0,3,0,0,99,423,0.63,0.16,0.15,0.18,0.35,0.09,1.364,0.34,13.1,4.0,682052
Pablo L\xc3\xb3pez,29,21,Maj-AL,Minnesota,2,2,1.0,1.0,,10.0,11,6,6,5,7,2,0,5.4,38,2,1,0,1,1,3,0,1,44,167,0.63,0.14,0.12,0.41,0.31,0.03,1.6,0.3,6.3,1.4,641154
Michael Lorenzen,33,4,Maj-AL,Kansas City,5,5,1.0,2.0,,25.0,28,20,20,12,19,5,0,7.2,100,5,0,0,0,2,2,1,0,114,446,0.63,0.15,0.08,0.34,0.27,0.1,1.6,0.295,6.8,1.58,547179
Seth Lugo,35,2,Maj-AL,Kansas City,5,5,1.0,1.0,,26.1,17,8,8,8,26,3,2,2.73,93,3,0,0,0,0,0,2,0,104,425,0.63,0.17,0.09,0.44,0.24,0.09,0.949,0.219,8.9,3.25,607625
Jes\xc3\xbas Luzardo,27,2,Maj-NL,Philadelphia,5,5,2.0,3.0,,23.1,35,25,25,10,27,4,0,9.64,102,8,0,0,2,0,4,0,0,112,446,0.63,0.18,0.12,0.35,0.33,0.03,1.929,0.437,10.4,2.7,666200
Daniel Lynch IV,28,0,Maj-AL,Kansas City,12,1,,1.0,,12.1,15,6,6,6,12,2,1,4.38,47,2,0,0,1,1,0,1,0,56,217,0.61,0.2,0.09,0.41,0.22,0.11,1.703,0.382,8.8,2.0,663738
Tyler Mahle,30,14,Maj-AL,Texas,3,3,1.0,1.0,,17.0,19,8,8,6,13,2,0,4.24,67,4,0,0,2,0,0,0,0,73,268,0.67,0.15,0.13,0.31,0.33,0.09,1.471,0.327,6.9,2.17,641816
Germ\xc3\xa1n M\xc3\xa1rquez,30,0,Maj-NL,Colorado,6,6,2.0,2.0,,30.2,42,17,10,6,30,4,1,2.93,134,10,0,0,2,2,10,1,0,143,500,0.66,0.15,0.11,0.35,0.35,0.05,1.565,0.373,8.8,5.0,608566
Davis Martin,28,12,Maj-AL,Chicago,3,3,,2.0,,18.0,17,10,10,3,15,5,1,5.0,69,7,0,0,0,0,2,1,0,73,274,0.63,0.11,0.12,0.48,0.19,0.06,1.111,0.245,7.5,5.0,663436
Nick Martinez,34,1,Maj-NL,Cincinnati,7,5,2.0,3.0,,28.1,34,20,20,6,20,9,3,6.35,113,6,0,0,2,1,2,1,0,124,446,0.66,0.2,0.06,0.28,0.21,0.16,1.412,0.294,6.4,3.33,607259
Zebby Matthews,25,20,Maj-AL,Minnesota,2,2,1.0,,,12.0,10,5,5,4,11,2,0,3.75,44,1,0,0,2,0,0,0,0,48,171,0.67,0.19,0.13,0.36,0.21,0.15,1.167,0.258,8.3,2.75,805673
Dustin May,27,3,Maj-NL,Los Angeles,5,5,2.0,1.0,,28.0,27,17,16,14,23,5,3,5.14,106,5,2,3,1,1,4,1,0,126,445,0.62,0.19,0.06,0.42,0.2,0.1,1.464,0.278,7.4,1.64,669160
Adam Mazur,24,6,Maj-NL,Miami,1,1,,1.0,,5.2,5,4,4,4,5,1,0,6.35,23,1,0,0,0,0,0,0,0,27,97,0.61,0.13,0.09,0.44,0.17,0.0,1.588,0.235,7.9,1.25,800049
Lance McCullers Jr.,31,14,Maj-AL,Houston,3,3,1.0,1.0,,17.0,11,7,7,6,25,2,1,3.71,62,5,0,0,0,0,1,0,0,70,294,0.62,0.21,0.12,0.41,0.19,0.05,1.0,0.257,13.2,4.17,621121
Michael McGreevy,24,0,Maj-NL,St. Louis,3,3,,1.0,,15.2,18,10,10,2,11,2,0,5.74,64,2,2,0,1,0,0,0,0,66,254,0.63,0.16,0.08,0.34,0.36,0.06,1.277,0.314,6.3,5.5,700241
Tylor Megill,29,10,Maj-NL,New York,4,4,2.0,1.0,,20.1,18,14,11,10,23,3,3,4.87,78,6,0,0,0,0,0,1,0,92,369,0.64,0.14,0.16,0.39,0.23,0.05,1.377,0.288,10.2,2.3,656731
Max Meyer,26,22,Maj-NL,Miami,2,2,,1.0,,8.1,17,11,8,3,5,3,0,8.64,42,2,0,0,0,1,0,1,0,46,151,0.65,0.15,0.09,0.42,0.21,0.08,2.4,0.4,5.4,1.67,676974
Miles Mikolas,36,2,Maj-NL,St. Louis,5,5,,3.0,,26.0,36,18,17,3,20,4,0,5.88,109,9,0,0,2,3,3,0,1,115,432,0.69,0.2,0.08,0.42,0.26,0.08,1.5,0.364,6.9,6.67,571945
Wade Miley,38,9,Maj-NL,Cincinnati,3,2,1.0,,,12.0,15,9,9,6,7,3,1,6.75,47,2,0,0,2,0,2,0,1,55,205,0.6,0.19,0.04,0.35,0.3,0.05,1.75,0.324,5.3,1.17,489119
Bryce Miller,26,18,Maj-AL,Seattle,2,2,,1.0,,9.0,12,8,8,2,4,2,2,8.0,38,3,0,0,0,0,3,1,0,42,141,0.66,0.13,0.09,0.38,0.18,0.09,1.556,0.313,4.0,2.0,682243
Jacob Misiorowski,23,4,Maj-NL,Milwaukee,2,2,2.0,,,11.0,1,2,2,5,11,1,0,1.64,33,0,0,0,1,0,0,0,0,38,172,0.66,0.15,0.13,0.45,0.14,0.14,0.545,0.0,9.0,2.2,694819
Casey Mize,28,2,Maj-AL,Detroit,5,5,1.0,1.0,,24.1,33,11,10,8,23,3,0,3.7,103,6,0,0,1,1,2,1,0,113,434,0.65,0.15,0.09,0.38,0.29,0.02,1.685,0.385,8.5,2.88,663554
Frankie Montas,32,0,Maj-NL,New York,1,1,,,,5.0,3,0,0,3,5,0,0,0.0,17,0,0,0,1,0,1,0,0,20,80,0.58,0.2,0.1,0.25,0.25,0.08,1.2,0.25,9.0,1.67,593423
Keider Montero,24,5,Maj-AL,Detroit,5,2,2.0,,,25.1,23,7,7,7,18,6,0,2.49,97,2,0,0,1,0,1,1,0,104,380,0.71,0.2,0.09,0.47,0.15,0.1,1.184,0.233,6.4,2.57,672456
Charlie Morton,41,0,Maj-AL,Baltimore,6,6,4.0,,,31.0,31,11,10,10,37,1,4,2.9,117,4,1,0,2,1,4,0,5,135,524,0.66,0.19,0.12,0.45,0.25,0.05,1.323,0.375,10.7,3.7,450203
Ryne Nelson,27,0,Maj-NL,Arizona,6,5,3.0,1.0,,29.1,18,10,9,10,22,3,2,2.76,104,3,1,0,2,0,0,0,0,116,472,0.64,0.13,0.08,0.48,0.17,0.09,0.955,0.19,6.8,2.2,669194
Bailey Ober,29,1,Maj-AL,Minnesota,5,5,,4.0,,28.1,33,25,25,8,23,11,2,7.94,116,4,0,0,0,1,0,2,0,127,471,0.66,0.16,0.11,0.3,0.15,0.17,1.447,0.265,7.3,2.88,641927
Shohei Ohtani,30,2,Maj-NL,Los Angeles,2,2,,,,2.0,2,1,1,0,2,0,0,4.5,8,0,0,0,0,1,0,0,0,9,46,0.61,0.13,0.11,0.43,0.29,0.14,1.0,0.286,9.0,,660271
Luis Ortiz,26,3,Maj-AL,Cleveland,5,5,2.0,3.0,,28.1,26,11,11,13,32,3,1,3.49,106,1,0,0,4,1,2,1,0,121,473,0.67,0.21,0.11,0.52,0.27,0.01,1.376,0.319,10.2,2.46,682847
Chris Paddack,29,0,Maj-AL,Minnesota,6,6,1.0,2.0,,33.1,36,23,21,5,25,4,1,5.67,133,9,1,0,1,2,0,1,0,142,533,0.66,0.14,0.1,0.37,0.26,0.1,1.23,0.302,6.8,5.0,663978
Andre Pallante,26,4,Maj-NL,St. Louis,5,5,1.0,,,26.1,26,17,15,7,23,3,1,5.13,105,6,1,0,0,0,4,0,1,115,428,0.65,0.15,0.12,0.69,0.18,0.01,1.253,0.291,7.9,3.29,669467
Carson Palmquist,24,3,Maj-NL,Colorado,5,5,,2.0,,22.1,19,15,15,13,20,6,3,6.04,82,5,1,0,0,3,6,0,0,102,429,0.61,0.18,0.07,0.27,0.2,0.12,1.433,0.22,8.1,1.54,687223
Mitchell Parker,25,1,Maj-NL,Washington,6,6,1.0,5.0,,31.0,34,19,17,8,23,9,0,4.94,123,5,0,0,3,1,0,0,0,132,501,0.67,0.16,0.1,0.32,0.31,0.04,1.355,0.272,6.7,2.88,680730
Chad Patrick,26,1,Maj-NL,Milwaukee,6,6,1.0,3.0,,31.2,34,16,16,11,40,5,1,4.55,127,7,0,0,2,0,1,0,0,139,538,0.67,0.15,0.13,0.3,0.32,0.05,1.421,0.354,11.4,3.64,694477
Ryan Pepiot,27,3,Maj-AL,Tampa Bay,5,5,2.0,1.0,,31.1,17,7,7,9,39,4,2,2.01,105,3,0,0,2,0,1,2,0,116,491,0.67,0.16,0.14,0.35,0.21,0.12,0.83,0.21,11.2,4.33,686752
Freddy Peralta,29,0,Maj-NL,Milwaukee,6,6,3.0,1.0,,33.0,27,13,13,11,38,5,2,3.55,123,6,0,0,2,0,0,0,0,137,574,0.62,0.14,0.12,0.4,0.24,0.13,1.152,0.275,10.4,3.45,642547
Eury P\xc3\xa9rez,22,3,Maj-NL,Miami,3,3,,2.0,,11.2,12,8,8,7,11,0,0,6.17,47,3,1,0,0,0,2,0,0,54,238,0.64,0.13,0.08,0.33,0.25,0.06,1.629,0.333,8.5,1.57,691587
David Peterson,29,2,Maj-NL,New York,5,5,2.0,1.0,,32.2,29,12,12,9,24,2,1,3.31,121,4,0,0,5,0,1,0,1,131,456,0.63,0.16,0.11,0.56,0.28,0.02,1.163,0.284,6.6,2.67,656849
Brandon Pfaadt,26,2,Maj-NL,Arizona,5,5,1.0,2.0,,18.0,31,22,22,5,16,4,5,11.0,84,11,0,0,1,0,4,0,0,94,366,0.63,0.14,0.1,0.44,0.29,0.03,2.0,0.422,8.0,3.2,694297
Nick Pivetta,32,4,Maj-NL,San Diego,5,5,2.0,,,27.2,28,18,17,6,28,5,0,5.53,107,7,0,0,1,2,1,1,0,116,434,0.66,0.18,0.1,0.33,0.24,0.13,1.229,0.303,9.1,4.67,601713
Drew Pomeranz,36,0,Maj-NL,Chicago,10,2,,1.0,,8.1,8,1,0,3,5,0,0,0.0,29,0,0,1,1,1,3,1,0,33,122,0.67,0.16,0.07,0.36,0.36,0.12,1.32,0.32,5.4,1.67,519141
Cade Povich,25,9,Maj-AL,Baltimore,4,3,1.0,2.0,,18.1,24,12,12,6,24,2,1,5.89,74,5,2,0,2,2,0,0,0,83,337,0.63,0.17,0.09,0.35,0.29,0.06,1.636,0.44,11.8,4.0,700249
Quinn Priester,24,2,Maj-NL,Milwaukee,5,3,4.0,,,26.1,26,8,8,3,18,3,1,2.73,102,5,0,0,2,0,2,1,0,106,419,0.66,0.18,0.1,0.61,0.2,0.06,1.101,0.284,6.2,6.0,682990
Cal Quantrill,30,0,Maj-NL,Miami,5,5,,3.0,,23.2,27,13,12,6,20,4,3,4.56,94,6,2,0,3,0,6,0,1,103,436,0.61,0.14,0.08,0.34,0.3,0.07,1.394,0.329,7.6,3.33,615698
Jose Quintana,36,3,Maj-NL,Milwaukee,4,4,1.0,1.0,,20.1,20,10,8,14,12,1,1,3.54,79,1,0,0,2,0,3,0,0,94,374,0.59,0.17,0.07,0.46,0.25,0.07,1.672,0.288,5.3,0.86,500779
Cole Ragans,27,19,Maj-AL,Kansas City,1,1,,,,3.0,5,5,5,3,4,1,1,15.0,14,1,0,0,0,0,1,0,0,18,78,0.6,0.17,0.12,0.3,0.4,0.1,2.667,0.444,12.0,1.33,666142
Drew Rasmussen,29,5,Maj-AL,Tampa Bay,5,5,3.0,1.0,,27.1,19,8,8,6,24,2,2,2.63,95,2,0,0,4,0,2,2,0,103,406,0.65,0.18,0.09,0.51,0.2,0.06,0.915,0.246,7.9,4.0,656876
Robbie Ray,33,2,Maj-NL,San Francisco,5,5,1.0,2.0,,29.0,25,14,11,9,35,4,0,3.41,111,5,1,0,0,1,0,1,0,121,482,0.66,0.15,0.16,0.26,0.3,0.08,1.172,0.288,10.9,3.89,592662
Colin Rea,34,2,Maj-NL,Chicago,5,4,1.0,2.0,,26.2,37,19,19,5,14,8,2,6.41,112,5,0,0,3,0,2,1,1,119,423,0.67,0.15,0.09,0.35,0.31,0.09,1.575,0.322,4.7,2.8,607067
Kumar Rocker,25,3,Maj-AL,Texas,3,3,2.0,1.0,,13.2,15,7,7,6,15,1,1,4.61,53,2,0,0,1,1,4,0,0,62,237,0.66,0.15,0.13,0.48,0.25,0.05,1.537,0.368,9.9,2.5,677958
Carlos Rod\xc3\xb3n,32,0,Maj-AL,New York,6,6,3.0,2.0,,36.0,28,13,12,8,39,5,3,3.0,132,8,0,0,3,0,2,0,0,143,561,0.63,0.16,0.15,0.42,0.2,0.08,1.0,0.261,9.8,4.88,607074
Eduardo Rodr\xc3\xadguez,32,1,Maj-NL,Arizona,4,4,2.0,1.0,,22.0,23,6,5,6,22,3,0,2.05,85,6,0,1,1,0,0,2,0,93,343,0.67,0.16,0.13,0.42,0.19,0.13,1.318,0.333,9.0,3.67,593958
Trevor Rogers,27,1,Maj-AL,Baltimore,2,2,1.0,,,10.1,8,3,3,3,8,0,0,2.61,39,1,0,0,0,0,0,0,0,42,172,0.67,0.16,0.1,0.45,0.23,0.06,1.065,0.258,7.0,2.67,669432
Ryan Rolison,27,0,Maj-NL,Colorado,10,1,,,,12.0,16,11,10,7,7,2,0,7.5,45,0,0,0,4,2,1,0,1,55,184,0.61,0.15,0.08,0.61,0.15,0.0,1.917,0.368,5.3,1.0,669020
